"subj" "expt" "item" "lang" "session" "trial" "roi" "FFD" "FFP" "SFD" "FPRT" "RBRT" "TFT" "RPD" "CRPD" "RRT" "RRTP" "RRTR" "RBRC" "TRC" "LPRT" "syll_len" "word_lex" "word_complex" "word_freq" "type_freq" "word_bifreq" "type_bifreq" "word_len" "block" "PB" "IC" "SC"
"81" 10 "hnd1" "11" "Hindi" 1 "15" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "कल" 0 60 60 NA NA 2 2 1 0 1
"82" 10 "hnd1" "11" "Hindi" 1 "15" 2 262 1 262 262 262 262 262 262 0 0 0 0 0 262 1 "ज़ी" 0 NA NA NA NA 2 2 2 0 1
"83" 10 "hnd1" "11" "Hindi" 1 "15" 3 0 0 0 0 0 0 0 262 0 0 0 0 0 0 1 "में" 1 12692 25348 NA NA 3 2 2 0 1
"84" 10 "hnd1" "11" "Hindi" 1 "15" 4 0 0 0 0 0 0 0 262 0 0 0 0 0 0 2 "शुरू" 1 385 386 11 6 4 2 4 0 1
"85" 10 "hnd1" "11" "Hindi" 1 "15" 5 0 0 0 0 0 0 0 262 0 0 0 0 0 0 2 "हुए" 0.5 1245 5915 4 163 3 2 5 5 1
"86" 10 "hnd1" "11" "Hindi" 1 "15" 6 0 0 366 366 366 366 366 628 0 0 0 0 0 366 3 "36वें" 1 NA NA NA NA 5 2 6 0 2
"87" 10 "hnd1" "11" "Hindi" 1 "15" 7 236 1 236 236 236 236 602 1230 0 0 0 1 1 236 3 "फिल्म" 1.5 107 135 NA NA 5 2 6 0 1
"88" 10 "hnd1" "11" "Hindi" 1 "15" 8 192 1 192 192 192 192 192 1422 0 0 0 0 0 192 5 "फ़ेसटीवल" 1 NA NA NA NA 8 2 6 3 1
"89" 10 "hnd1" "11" "Hindi" 1 "15" 9 0 0 0 0 0 0 0 1422 0 0 0 0 0 0 1 "के" 0.5 18820 25348 NA NA 2 2 6 0 2
"90" 10 "hnd1" "11" "Hindi" 1 "15" 10 0 0 0 0 0 0 0 1422 0 0 0 0 0 0 2 "रंग" 0.5 19 23 2 4 3 2 10 1 1
"91" 10 "hnd1" "11" "Hindi" 1 "15" 11 0 0 0 0 0 0 0 1422 0 0 0 0 0 0 1 "में" 1 12692 25348 4 6 3 2 10 0 1
"92" 10 "hnd1" "11" "Hindi" 1 "15" 12 296 1 296 296 296 296 296 1718 0 0 0 0 0 296 2 "भंग" 0.5 29 29 3 NA 3 2 12 1 1
"93" 10 "hnd1" "11" "Hindi" 1 "15" 13 0 0 0 0 0 0 0 1718 0 0 0 0 0 0 2 "उस" 0 235 6262 1 1 2 2 13 0 2
"94" 10 "hnd1" "11" "Hindi" 1 "15" 14 0 0 234 234 234 234 234 1952 0 0 0 0 0 234 3 "समय" 0 495 495 56 63 3 2 13 0 1
"95" 10 "hnd1" "11" "Hindi" 1 "15" 15 206 1 206 206 206 206 440 2392 0 0 0 1 1 206 2 "पड़ा" 0 120 234 1 NA 3 2 15 2 1
"96" 10 "hnd1" "11" "Hindi" 1 "15" 16 0 0 0 0 0 0 0 2392 0 0 0 0 0 0 2 "जब" 0 340 341 2 NA 2 2 16 1 1
"97" 10 "hnd1" "11" "Hindi" 1 "15" 17 0 0 0 0 0 0 0 2392 0 0 0 0 0 0 2 "वहां" 0.5 187 240 1 1 4 2 17 0 1
"98" 10 "hnd1" "11" "Hindi" 1 "15" 18 274 1 274 274 274 274 274 2666 0 0 0 0 0 274 2 "पर" 0 5002 7193 7 22 2 2 17 0 1
"99" 10 "hnd1" "11" "Hindi" 1 "15" 19 0 0 0 0 0 0 0 2666 0 0 0 0 0 0 3 "तैनात" 0.5 81 81 14 NA 5 2 19 1 2
"100" 10 "hnd1" "11" "Hindi" 1 "15" 20 234 1 234 234 234 234 234 2900 0 0 0 0 0 234 3 "पुलीस" 0.5 NA NA NA NA 5 2 20 0 1
"101" 10 "hnd1" "11" "Hindi" 1 "15" 21 0 0 0 0 0 0 0 2900 0 0 0 0 0 0 2 "वालों" 0.5 83 1196 NA NA 5 2 20 0 1
"102" 10 "hnd1" "11" "Hindi" 1 "15" 22 0 0 0 0 0 0 0 2900 0 0 0 0 0 0 1 "ने" 0.5 6947 12697 5 11 2 2 20 0 1
"103" 10 "hnd1" "11" "Hindi" 1 "15" 23 0 0 132 132 132 132 132 3032 0 0 0 0 0 132 3 "बिपाशा" 1 8 8 NA 1 6 2 23 0 1
"104" 10 "hnd1" "11" "Hindi" 1 "15" 24 200 1 200 200 200 200 332 3364 0 0 0 1 1 200 2 "बसु" 0.5 18 18 4 4 3 2 23 0 1
"105" 10 "hnd1" "11" "Hindi" 1 "15" 25 0 0 0 0 0 0 0 3364 0 0 0 0 0 0 1 "के" 0.5 18820 25348 5 2 2 2 23 0 2
"106" 10 "hnd1" "11" "Hindi" 1 "15" 26 0 0 186 186 186 186 186 3550 0 0 0 0 0 186 2 "साथ" 0 1188 1190 757 21 3 2 23 0 1
"107" 10 "hnd1" "11" "Hindi" 1 "15" 27 248 1 248 248 248 248 434 3984 0 0 0 1 1 248 5 "बदतमीज़ी" 0.5 NA NA NA NA 8 2 28 0 1
"108" 10 "hnd1" "11" "Hindi" 1 "15" 28 198 1 198 198 198 198 198 4182 0 0 0 0 0 198 1 "की" 0 11321 25348 NA NA 2 2 28 21 0
"109" 10 "hnd1" "11" "Hindi" 1 "15" 29 0 0 0 0 0 0 0 4182 0 0 0 0 0 0 1 "।" 0 19415 18846 284 13 1 2 28 0 0
"110" 10 "hnd1" "12" "Hindi" 1 "16" 1 206 1 206 206 206 206 206 206 0 0 0 0 0 206 3 "पुलीस" 0.5 NA NA NA NA 5 2 1 0 1
"111" 10 "hnd1" "12" "Hindi" 1 "16" 2 0 0 0 0 0 0 0 206 0 0 0 0 0 0 2 "द्वारा" 1.5 525 526 NA NA 6 2 1 0 1
"112" 10 "hnd1" "12" "Hindi" 1 "16" 3 0 0 0 0 0 0 0 206 0 0 0 0 0 0 1 "की" 0 11321 25348 14 NA 2 2 3 1 0
"113" 10 "hnd1" "12" "Hindi" 1 "16" 4 184 1 184 184 184 184 184 390 0 0 0 0 0 184 5 "बदतमीजी" 0 3 3 1 NA 7 2 4 0 0
"114" 10 "hnd1" "12" "Hindi" 1 "16" 5 0 0 0 0 0 0 0 390 0 0 0 0 0 0 1 "के" 0.5 18820 25348 2 NA 2 2 4 0 2
"115" 10 "hnd1" "12" "Hindi" 1 "16" 6 0 0 0 0 0 0 0 390 0 0 0 0 0 0 3 "चलते" 0.5 92 469 56 5 4 2 6 1 1
"116" 10 "hnd1" "12" "Hindi" 1 "16" 7 220 1 0 388 388 388 388 778 0 0 0 0 0 388 3 "बिपाशा" 1 8 8 2 NA 6 2 7 0 1
"117" 10 "hnd1" "12" "Hindi" 1 "16" 8 0 0 0 0 0 0 0 778 0 0 0 0 0 0 1 "का" 0 5500 25348 1 2 2 2 7 0 2
"118" 10 "hnd1" "12" "Hindi" 1 "16" 9 0 0 0 0 0 0 0 778 0 0 0 0 0 0 3 "गुस्सा" 1 9 19 6 8 6 2 9 1 1
"119" 10 "hnd1" "12" "Hindi" 1 "16" 10 240 1 240 240 240 240 240 1018 0 0 0 0 0 240 3 "सातवें" 1 3 3 2 2 6 2 10 0 2
"120" 10 "hnd1" "12" "Hindi" 1 "16" 11 0 0 222 222 222 222 222 1240 0 0 0 0 0 222 4 "आसमान" 0 10 10 2 2 5 2 10 0 1
"121" 10 "hnd1" "12" "Hindi" 1 "16" 12 268 1 268 268 268 268 268 1508 0 0 0 0 0 268 2 "पर" 0 5002 7193 2 NA 2 2 10 0 1
"122" 10 "hnd1" "12" "Hindi" 1 "16" 13 0 0 96 96 96 96 96 1604 0 0 0 0 0 96 1 "जा" 0 929 7560 9 4 2 2 13 9 0
"123" 10 "hnd1" "12" "Hindi" 1 "16" 14 114 1 114 114 114 114 432 2036 0 0 0 1 1 114 3 "पहुंचा" 1 48 354 3 7 6 2 13 0 0
"124" 10 "hnd1" "12" "Hindi" 1 "16" 15 0 0 0 0 0 0 0 2036 0 0 0 0 0 0 1 "।" 0 19415 18846 11 57 1 2 13 0 0
"125" 10 "hnd1" "13" "Hindi" 1 "17" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 "और" 0 5122 5122 NA NA 2 2 1 0 1
"126" 10 "hnd1" "13" "Hindi" 1 "17" 2 200 1 200 200 200 200 200 200 0 0 0 0 0 200 3 "पहले" 0.5 700 587 3 1 4 2 2 0 1
"127" 10 "hnd1" "13" "Hindi" 1 "17" 3 0 0 0 0 0 0 0 200 0 0 0 0 0 0 1 "तो" 0 1349 1349 5 3 2 2 2 0 1
"128" 10 "hnd1" "13" "Hindi" 1 "17" 4 0 0 0 0 0 0 0 200 0 0 0 0 0 0 4 "उन्होंने" 1.5 1693 6262 30 172 8 2 4 0 1
"129" 10 "hnd1" "13" "Hindi" 1 "17" 5 244 1 244 244 244 244 244 444 0 0 0 0 0 244 2 "वहीं" 0.5 164 240 1 17 4 2 5 0 1
"130" 10 "hnd1" "13" "Hindi" 1 "17" 6 0 0 0 0 0 0 0 444 0 0 0 0 0 0 2 "पर" 0 5002 7193 3 22 2 2 5 0 1
"131" 10 "hnd1" "13" "Hindi" 1 "17" 7 0 0 0 0 0 0 0 444 0 0 0 0 0 0 2 "इन" 0 541 8126 11 182 2 2 7 0 2
"132" 10 "hnd1" "13" "Hindi" 1 "17" 8 0 0 158 158 158 158 158 602 0 0 0 0 0 158 2 "गार्ड्स" 3 2 25 1 1 7 2 7 0 1
"133" 10 "hnd1" "13" "Hindi" 1 "17" 9 192 1 192 192 192 192 350 952 0 0 0 1 1 192 1 "की" 0 11321 25348 1 8 2 2 7 0 2
"134" 10 "hnd1" "13" "Hindi" 1 "17" 10 0 0 0 0 0 0 0 952 0 0 0 0 0 0 2 "खैर" 0.5 19 19 1 1 3 2 10 0 1
"135" 10 "hnd1" "13" "Hindi" 1 "17" 11 0 0 0 0 0 0 0 952 0 0 0 0 0 0 3 "खबर" 0 83 126 1 1 3 2 10 0 1
"136" 10 "hnd1" "13" "Hindi" 1 "17" 12 0 0 0 0 0 0 0 952 0 0 0 0 0 0 1 "ली" 0 166 1763 1 1 2 2 12 38 0
"137" 10 "hnd1" "13" "Hindi" 1 "17" 13 0 0 200 200 200 200 200 1152 0 0 0 0 0 200 3 "लेकिन" 1.5 859 859 4 8 5 2 13 0 1
"138" 10 "hnd1" "13" "Hindi" 1 "17" 14 240 1 240 240 240 240 440 1592 0 0 0 1 1 240 2 "बाद" 0 1294 1294 6 6 3 2 14 0 1
"139" 10 "hnd1" "13" "Hindi" 1 "17" 15 138 1 138 138 138 138 138 1730 0 0 0 0 0 138 1 "में" 1 12692 25348 112 5 3 2 14 0 1
